"Step","transformer-2-(bin) - sig/significance","transformer-2-(bin) - sig/significance__MIN","transformer-2-(bin) - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"1","1.7578967809677124","1.7578967809677124","1.7578967809677124","1.760721206665039","1.760721206665039","1.760721206665039"
"2","1.7586236000061035","1.7586236000061035","1.7586236000061035","1.771610975265503","1.771610975265503","1.771610975265503"
"3","1.7613011598587036","1.7613011598587036","1.7613011598587036","1.7844375371932983","1.7844375371932983","1.7844375371932983"
"4","1.763674020767212","1.763674020767212","1.763674020767212","1.794148325920105","1.794148325920105","1.794148325920105"
"5","1.771006464958191","1.771006464958191","1.771006464958191","1.797223448753357","1.797223448753357","1.797223448753357"
"6","1.7784323692321777","1.7784323692321777","1.7784323692321777","1.806577444076538","1.806577444076538","1.806577444076538"
"7","1.7856450080871582","1.7856450080871582","1.7856450080871582","1.8144314289093018","1.8144314289093018","1.8144314289093018"
"8","1.7979099750518799","1.7979099750518799","1.7979099750518799","1.8188704252243042","1.8188704252243042","1.8188704252243042"
"9","1.8198695182800293","1.8198695182800293","1.8198695182800293","1.8301180601119995","1.8301180601119995","1.8301180601119995"
"10","1.8230232000350952","1.8230232000350952","1.8230232000350952","1.8356130123138428","1.8356130123138428","1.8356130123138428"
"11","1.8330661058425903","1.8330661058425903","1.8330661058425903","1.8390963077545166","1.8390963077545166","1.8390963077545166"
"12","1.8337322473526","1.8337322473526","1.8337322473526","1.848422884941101","1.848422884941101","1.848422884941101"
"13","1.835319995880127","1.835319995880127","1.835319995880127","1.851322054862976","1.851322054862976","1.851322054862976"
"14","1.838381290435791","1.838381290435791","1.838381290435791","1.8592383861541748","1.8592383861541748","1.8592383861541748"
"15","1.8412312269210815","1.8412312269210815","1.8412312269210815","1.8625493049621582","1.8625493049621582","1.8625493049621582"
"16","1.8424166440963745","1.8424166440963745","1.8424166440963745","1.8691211938858032","1.8691211938858032","1.8691211938858032"
"17","1.8444231748580933","1.8444231748580933","1.8444231748580933","1.8746384382247925","1.8746384382247925","1.8746384382247925"
"18","1.8478201627731323","1.8478201627731323","1.8478201627731323","1.8842589855194092","1.8842589855194092","1.8842589855194092"
"19","1.8513120412826538","1.8513120412826538","1.8513120412826538","1.8861515522003174","1.8861515522003174","1.8861515522003174"
"20","1.855125069618225","1.855125069618225","1.855125069618225","1.8912980556488037","1.8912980556488037","1.8912980556488037"
"21","1.8564711809158325","1.8564711809158325","1.8564711809158325","1.9020713567733765","1.9020713567733765","1.9020713567733765"
"22","1.8618437051773071","1.8618437051773071","1.8618437051773071","1.903064489364624","1.903064489364624","1.903064489364624"
"23","1.8608777523040771","1.8608777523040771","1.8608777523040771","1.9101896286010742","1.9101896286010742","1.9101896286010742"
"24","1.8664354085922241","1.8664354085922241","1.8664354085922241","1.9417811632156372","1.9417811632156372","1.9417811632156372"
"25","1.8667610883712769","1.8667610883712769","1.8667610883712769","1.9526708126068115","1.9526708126068115","1.9526708126068115"
"26","1.8665006160736084","1.8665006160736084","1.8665006160736084","1.9718077182769775","1.9718077182769775","1.9718077182769775"
"27","1.8723995685577393","1.8723995685577393","1.8723995685577393","1.9960389137268066","1.9960389137268066","1.9960389137268066"
"28","1.8724364042282104","1.8724364042282104","1.8724364042282104","2.029550552368164","2.029550552368164","2.029550552368164"
"29","1.8778265714645386","1.8778265714645386","1.8778265714645386","2.041729688644409","2.041729688644409","2.041729688644409"
"30","1.8805453777313232","1.8805453777313232","1.8805453777313232","2.042464256286621","2.042464256286621","2.042464256286621"
"31","1.8840364217758179","1.8840364217758179","1.8840364217758179","2.0495662689208984","2.0495662689208984","2.0495662689208984"
"32","1.887061357498169","1.887061357498169","1.887061357498169","2.053262948989868","2.053262948989868","2.053262948989868"
"33","1.8871482610702515","1.8871482610702515","1.8871482610702515","2.0590102672576904","2.0590102672576904","2.0590102672576904"
"34","1.8901854753494263","1.8901854753494263","1.8901854753494263","2.0670759677886963","2.0670759677886963","2.0670759677886963"
"35","1.8933035135269165","1.8933035135269165","1.8933035135269165","2.060850143432617","2.060850143432617","2.060850143432617"
"36","1.8948360681533813","1.8948360681533813","1.8948360681533813","2.062591552734375","2.062591552734375","2.062591552734375"
"37","1.8999236822128296","1.8999236822128296","1.8999236822128296","2.0678834915161133","2.0678834915161133","2.0678834915161133"
"38","1.903394341468811","1.903394341468811","1.903394341468811","2.0707719326019287","2.0707719326019287","2.0707719326019287"
"39","1.9019203186035156","1.9019203186035156","1.9019203186035156","2.0603814125061035","2.0603814125061035","2.0603814125061035"
"40","1.90508234500885","1.90508234500885","1.90508234500885","2.0612127780914307","2.0612127780914307","2.0612127780914307"
"41","1.9076474905014038","1.9076474905014038","1.9076474905014038","2.082822561264038","2.082822561264038","2.082822561264038"
"42","1.9075976610183716","1.9075976610183716","1.9075976610183716","2.0938880443573","2.0938880443573","2.0938880443573"
"43","1.9109134674072266","1.9109134674072266","1.9109134674072266","2.1034913063049316","2.1034913063049316","2.1034913063049316"
"44","1.9123703241348267","1.9123703241348267","1.9123703241348267","2.1103763580322266","2.1103763580322266","2.1103763580322266"
"45","1.9165012836456299","1.9165012836456299","1.9165012836456299","2.106367349624634","2.106367349624634","2.106367349624634"
"46","1.9193103313446045","1.9193103313446045","1.9193103313446045","2.1240344047546387","2.1240344047546387","2.1240344047546387"
"47","1.9206331968307495","1.9206331968307495","1.9206331968307495","2.124455213546753","2.124455213546753","2.124455213546753"
"48","1.923469066619873","1.923469066619873","1.923469066619873","2.121626615524292","2.121626615524292","2.121626615524292"
"49","1.924146056175232","1.924146056175232","1.924146056175232","2.1278858184814453","2.1278858184814453","2.1278858184814453"
"50","1.927451252937317","1.927451252937317","1.927451252937317","2.1284470558166504","2.1284470558166504","2.1284470558166504"
"51","1.926446557044983","1.926446557044983","1.926446557044983","2.1295268535614014","2.1295268535614014","2.1295268535614014"
"52","1.931359887123108","1.931359887123108","1.931359887123108","2.1344425678253174","2.1344425678253174","2.1344425678253174"
"53","1.9313058853149414","1.9313058853149414","1.9313058853149414","2.1413447856903076","2.1413447856903076","2.1413447856903076"
"54","1.9446638822555542","1.9446638822555542","1.9446638822555542","2.14935302734375","2.14935302734375","2.14935302734375"
"55","1.9526807069778442","1.9526807069778442","1.9526807069778442","2.1463987827301025","2.1463987827301025","2.1463987827301025"
"56","1.9591257572174072","1.9591257572174072","1.9591257572174072","2.1416165828704834","2.1416165828704834","2.1416165828704834"
"57","1.9693365097045898","1.9693365097045898","1.9693365097045898","2.1513664722442627","2.1513664722442627","2.1513664722442627"
"58","1.9759291410446167","1.9759291410446167","1.9759291410446167","2.1385865211486816","2.1385865211486816","2.1385865211486816"
