"Step","resnet-8 - sig/significance","resnet-8 - sig/significance__MIN","resnet-8 - sig/significance__MAX","resnet-8-embed-nan-w - sig/significance","resnet-8-embed-nan-w - sig/significance__MIN","resnet-8-embed-nan-w - sig/significance__MAX","resnet-8-embed - sig/significance","resnet-8-embed - sig/significance__MIN","resnet-8-embed - sig/significance__MAX","resnet-8-nan-w - sig/significance","resnet-8-nan-w - sig/significance__MIN","resnet-8-nan-w - sig/significance__MAX"
"1","2.1396172046661377","2.1396172046661377","2.1396172046661377","2.0912206172943115","2.0912206172943115","2.0912206172943115","2.08361554145813","2.08361554145813","2.08361554145813","2.128347158432007","2.128347158432007","2.128347158432007"
"2","2.1415657997131348","2.1415657997131348","2.1415657997131348","2.142606258392334","2.142606258392334","2.142606258392334","2.1077046394348145","2.1077046394348145","2.1077046394348145","2.1453592777252197","2.1453592777252197","2.1453592777252197"
"3","2.143463134765625","2.143463134765625","2.143463134765625","2.1291940212249756","2.1291940212249756","2.1291940212249756","2.1217758655548096","2.1217758655548096","2.1217758655548096","2.164491891860962","2.164491891860962","2.164491891860962"
"4","2.148857831954956","2.148857831954956","2.148857831954956","2.1442573070526123","2.1442573070526123","2.1442573070526123","2.1472179889678955","2.1472179889678955","2.1472179889678955","2.160132646560669","2.160132646560669","2.160132646560669"
"5","2.1533730030059814","2.1533730030059814","2.1533730030059814","2.1561670303344727","2.1561670303344727","2.1561670303344727","2.151413679122925","2.151413679122925","2.151413679122925","2.167362928390503","2.167362928390503","2.167362928390503"
"6","2.163740873336792","2.163740873336792","2.163740873336792","2.1532771587371826","2.1532771587371826","2.1532771587371826","2.156156539916992","2.156156539916992","2.156156539916992","2.174386739730835","2.174386739730835","2.174386739730835"
"7","2.158346176147461","2.158346176147461","2.158346176147461","2.159029245376587","2.159029245376587","2.159029245376587","2.1748859882354736","2.1748859882354736","2.1748859882354736","2.1846723556518555","2.1846723556518555","2.1846723556518555"
"8","2.1740100383758545","2.1740100383758545","2.1740100383758545","2.1651930809020996","2.1651930809020996","2.1651930809020996","2.151553153991699","2.151553153991699","2.151553153991699","2.1618831157684326","2.1618831157684326","2.1618831157684326"
"9","2.17342209815979","2.17342209815979","2.17342209815979","2.1579339504241943","2.1579339504241943","2.1579339504241943","2.1583051681518555","2.1583051681518555","2.1583051681518555","2.1623923778533936","2.1623923778533936","2.1623923778533936"
"10","2.169646739959717","2.169646739959717","2.169646739959717","2.1420443058013916","2.1420443058013916","2.1420443058013916","2.150820016860962","2.150820016860962","2.150820016860962","2.1663286685943604","2.1663286685943604","2.1663286685943604"
