"epoch","transformer-2-no-w-nan - _step","transformer-2-no-w-nan - _step__MIN","transformer-2-no-w-nan - _step__MAX","transformer-2-no-w-nan - val/auc_w/ttH","transformer-2-no-w-nan - val/auc_w/ttH__MIN","transformer-2-no-w-nan - val/auc_w/ttH__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"1","1.5","1","2","0.5492937516818407","0.506696183046263","0.5918913203174184","1","1","1","0.5916381712406114","0.5916381712406114","0.5916381712406114"
"2","3","3","3","0.600086231832516","0.600086231832516","0.600086231832516","2","2","2","0.6275400053688894","0.6275400053688894","0.6275400053688894"
"3","4","4","4","0.6382897466710695","0.6382897466710695","0.6382897466710695","3","3","3","0.6499130075684647","0.6499130075684647","0.6499130075684647"
"4","5","5","5","0.615028754729874","0.615028754729874","0.615028754729874","4","4","4","0.6527983439640017","0.6527983439640017","0.6527983439640017"
"5","6","6","6","0.6493829944249939","0.6493829944249939","0.6493829944249939","5","5","5","0.6533806974650211","0.6533806974650211","0.6533806974650211"
"6","7","7","7","0.6387979564393294","0.6387979564393294","0.6387979564393294","6","6","6","0.6501103468023719","0.6501103468023719","0.6501103468023719"
"7","8","8","8","0.640870712974639","0.640870712974639","0.640870712974639","7","7","7","0.6472948948645459","0.6472948948645459","0.6472948948645459"
"8","9","9","9","0.6269917991414307","0.6269917991414307","0.6269917991414307","8","8","8","0.6411628762761448","0.6411628762761448","0.6411628762761448"
"9","10","10","10","0.60036825603301","0.60036825603301","0.60036825603301","9","9","9","0.6241768686266751","0.6241768686266751","0.6241768686266751"
"10","11","11","11","0.6162598588024706","0.6162598588024706","0.6162598588024706","10","10","10","0.636455896843119","0.636455896843119","0.636455896843119"
"11","12","12","12","0.6691030151903665","0.6691030151903665","0.6691030151903665","11","11","11","0.6470546329947215","0.6470546329947215","0.6470546329947215"
"12","13","13","13","0.6761384615104137","0.6761384615104137","0.6761384615104137","12","12","12","0.6618894014467829","0.6618894014467829","0.6618894014467829"
"13","14","14","14","0.7349154962913387","0.7349154962913387","0.7349154962913387","13","13","13","0.6844835598233344","0.6844835598233344","0.6844835598233344"
"14","15","15","15","0.7021610997097899","0.7021610997097899","0.7021610997097899","14","14","14","0.6935514616435821","0.6935514616435821","0.6935514616435821"
"15","16","16","16","0.7225145179354708","0.7225145179354708","0.7225145179354708","15","15","15","0.7037845155235104","0.7037845155235104","0.7037845155235104"
"16","17","17","17","0.737522808087134","0.737522808087134","0.737522808087134","16","16","16","0.7136936794636819","0.7136936794636819","0.7136936794636819"
"17","18","18","18","0.7208481739950372","0.7208481739950372","0.7208481739950372","17","17","17","0.7063208676525645","0.7063208676525645","0.7063208676525645"
"18","19","19","19","0.7454645763574498","0.7454645763574498","0.7454645763574498","18","18","18","0.7320841013619783","0.7320841013619783","0.7320841013619783"
"19","20","20","20","0.7473426158143085","0.7473426158143085","0.7473426158143085","19","19","19","0.7264466490847655","0.7264466490847655","0.7264466490847655"
"20","21","21","21","0.7298914805279584","0.7298914805279584","0.7298914805279584","20","20","20","0.7357936354694766","0.7357936354694766","0.7357936354694766"
"21","22","22","22","0.7291519067143332","0.7291519067143332","0.7291519067143332","21","21","21","0.7488543845889243","0.7488543845889243","0.7488543845889243"
"22","23","23","23","0.7468733449314359","0.7468733449314359","0.7468733449314359","22","22","22","0.7455423746549169","0.7455423746549169","0.7455423746549169"
"23","24","24","24","0.7493941871119029","0.7493941871119029","0.7493941871119029","23","23","23","0.7404206777202642","0.7404206777202642","0.7404206777202642"
"24","25","25","25","0.7493956779787512","0.7493956779787512","0.7493956779787512","24","24","24","0.750247550820661","0.750247550820661","0.750247550820661"
"25","26","26","26","0.7429214383552195","0.7429214383552195","0.7429214383552195","25","25","25","0.742289594942627","0.742289594942627","0.742289594942627"
"26","27","27","27","0.7388387050551821","0.7388387050551821","0.7388387050551821","26","26","26","0.7352169530015038","0.7352169530015038","0.7352169530015038"
"27","28","28","28","0.7598676657727192","0.7598676657727192","0.7598676657727192","27","27","27","0.7368825787989358","0.7368825787989358","0.7368825787989358"
"28","29","29","29","0.758029043447583","0.758029043447583","0.758029043447583","28","28","28","0.7291458486397862","0.7291458486397862","0.7291458486397862"
"29","30","30","30","0.7557967286131724","0.7557967286131724","0.7557967286131724","29","29","29","0.748636589635895","0.748636589635895","0.748636589635895"
"30","31","31","31","0.7561420967940745","0.7561420967940745","0.7561420967940745","30","30","30","0.7405642239442213","0.7405642239442213","0.7405642239442213"
"31","32","32","32","0.7329704668793878","0.7329704668793878","0.7329704668793878","31","31","31","0.7386576931134473","0.7386576931134473","0.7386576931134473"
"32","33","33","33","0.7499494753835088","0.7499494753835088","0.7499494753835088","32","32","32","0.7626894607879648","0.7626894607879648","0.7626894607879648"
