"epoch","transformer-2-no-w-nan - _step","transformer-2-no-w-nan - _step__MIN","transformer-2-no-w-nan - _step__MAX","transformer-2-no-w-nan - sig/significance","transformer-2-no-w-nan - sig/significance__MIN","transformer-2-no-w-nan - sig/significance__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"1","1.5","1","2","2.0834479331970215","2.0833053588867188","2.083590507507324","1","1","1","2.0834169387817383","2.0834169387817383","2.0834169387817383"
"2","3","3","3","2.1345927715301514","2.1345927715301514","2.1345927715301514","2","2","2","2.101653575897217","2.101653575897217","2.101653575897217"
"3","4","4","4","2.147256374359131","2.147256374359131","2.147256374359131","3","3","3","2.149033546447754","2.149033546447754","2.149033546447754"
"4","5","5","5","2.1181747913360596","2.1181747913360596","2.1181747913360596","4","4","4","2.1422698497772217","2.1422698497772217","2.1422698497772217"
"5","6","6","6","2.129319667816162","2.129319667816162","2.129319667816162","5","5","5","2.153210163116455","2.153210163116455","2.153210163116455"
"6","7","7","7","2.130315065383911","2.130315065383911","2.130315065383911","6","6","6","2.146914482116699","2.146914482116699","2.146914482116699"
"7","8","8","8","2.1240270137786865","2.1240270137786865","2.1240270137786865","7","7","7","2.1267571449279785","2.1267571449279785","2.1267571449279785"
"8","9","9","9","2.1288070678710938","2.1288070678710938","2.1288070678710938","8","8","8","2.1227500438690186","2.1227500438690186","2.1227500438690186"
"9","10","10","10","2.1284427642822266","2.1284427642822266","2.1284427642822266","9","9","9","2.137273073196411","2.137273073196411","2.137273073196411"
"10","11","11","11","2.1278584003448486","2.1278584003448486","2.1278584003448486","10","10","10","2.1432406902313232","2.1432406902313232","2.1432406902313232"
"11","12","12","12","2.1393349170684814","2.1393349170684814","2.1393349170684814","11","11","11","2.15022611618042","2.15022611618042","2.15022611618042"
"12","13","13","13","2.145458936691284","2.145458936691284","2.145458936691284","12","12","12","2.1551830768585205","2.1551830768585205","2.1551830768585205"
"13","14","14","14","2.2752673625946045","2.2752673625946045","2.2752673625946045","13","13","13","2.1592495441436768","2.1592495441436768","2.1592495441436768"
"14","15","15","15","2.168792486190796","2.168792486190796","2.168792486190796","14","14","14","2.1949541568756104","2.1949541568756104","2.1949541568756104"
"15","16","16","16","2.2384610176086426","2.2384610176086426","2.2384610176086426","15","15","15","2.221874475479126","2.221874475479126","2.221874475479126"
"16","17","17","17","2.2552244663238525","2.2552244663238525","2.2552244663238525","16","16","16","2.2215747833251953","2.2215747833251953","2.2215747833251953"
"17","18","18","18","2.234571695327759","2.234571695327759","2.234571695327759","17","17","17","2.246731996536255","2.246731996536255","2.246731996536255"
"18","19","19","19","2.300837278366089","2.300837278366089","2.300837278366089","18","18","18","2.3106157779693604","2.3106157779693604","2.3106157779693604"
"19","20","20","20","2.2911899089813232","2.2911899089813232","2.2911899089813232","19","19","19","2.292386293411255","2.292386293411255","2.292386293411255"
"20","21","21","21","2.280550956726074","2.280550956726074","2.280550956726074","20","20","20","2.3217196464538574","2.3217196464538574","2.3217196464538574"
"21","22","22","22","2.270703077316284","2.270703077316284","2.270703077316284","21","21","21","2.3430299758911133","2.3430299758911133","2.3430299758911133"
"22","23","23","23","2.2977986335754395","2.2977986335754395","2.2977986335754395","22","22","22","2.3518166542053223","2.3518166542053223","2.3518166542053223"
"23","24","24","24","2.31471586227417","2.31471586227417","2.31471586227417","23","23","23","2.332634687423706","2.332634687423706","2.332634687423706"
"24","25","25","25","2.3309879302978516","2.3309879302978516","2.3309879302978516","24","24","24","2.363978147506714","2.363978147506714","2.363978147506714"
"25","26","26","26","2.3025224208831787","2.3025224208831787","2.3025224208831787","25","25","25","2.3497114181518555","2.3497114181518555","2.3497114181518555"
"26","27","27","27","2.280843496322632","2.280843496322632","2.280843496322632","26","26","26","2.336286783218384","2.336286783218384","2.336286783218384"
"27","28","28","28","2.3378167152404785","2.3378167152404785","2.3378167152404785","27","27","27","2.2947258949279785","2.2947258949279785","2.2947258949279785"
