"Step","transformer-2-100-data-5000-batch - sig/significance","transformer-2-100-data-5000-batch - sig/significance__MIN","transformer-2-100-data-5000-batch - sig/significance__MAX","transformer-2-50-data - sig/significance","transformer-2-50-data - sig/significance__MIN","transformer-2-50-data - sig/significance__MAX","transformer-2-10-data - sig/significance","transformer-2-10-data - sig/significance__MIN","transformer-2-10-data - sig/significance__MAX","transformer-2-5-data - sig/significance","transformer-2-5-data - sig/significance__MIN","transformer-2-5-data - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"1","2.401757001876831","2.401757001876831","2.401757001876831","2.408273458480835","2.408273458480835","2.408273458480835","2.206209897994995","2.206209897994995","2.206209897994995","2.2097537517547607","2.2097537517547607","2.2097537517547607","2.0834169387817383","2.0834169387817383","2.0834169387817383"
"2","2.4464714527130127","2.4464714527130127","2.4464714527130127","2.4362404346466064","2.4362404346466064","2.4362404346466064","2.3247158527374268","2.3247158527374268","2.3247158527374268","2.140854835510254","2.140854835510254","2.140854835510254","2.101653575897217","2.101653575897217","2.101653575897217"
"3","2.457404851913452","2.457404851913452","2.457404851913452","2.4614760875701904","2.4614760875701904","2.4614760875701904","2.2912979125976562","2.2912979125976562","2.2912979125976562","2.256927251815796","2.256927251815796","2.256927251815796","2.149033546447754","2.149033546447754","2.149033546447754"
"4","2.4580211639404297","2.4580211639404297","2.4580211639404297","2.4616904258728027","2.4616904258728027","2.4616904258728027","2.3669018745422363","2.3669018745422363","2.3669018745422363","2.321803092956543","2.321803092956543","2.321803092956543","2.1422698497772217","2.1422698497772217","2.1422698497772217"
"5","2.4793708324432373","2.4793708324432373","2.4793708324432373","2.4675376415252686","2.4675376415252686","2.4675376415252686","2.392246961593628","2.392246961593628","2.392246961593628","2.2239277362823486","2.2239277362823486","2.2239277362823486","2.153210163116455","2.153210163116455","2.153210163116455"
"6","2.4652135372161865","2.4652135372161865","2.4652135372161865","2.4835894107818604","2.4835894107818604","2.4835894107818604","2.404036521911621","2.404036521911621","2.404036521911621","2.365743398666382","2.365743398666382","2.365743398666382","2.146914482116699","2.146914482116699","2.146914482116699"
"7","2.488454818725586","2.488454818725586","2.488454818725586","2.4778904914855957","2.4778904914855957","2.4778904914855957","2.393639326095581","2.393639326095581","2.393639326095581","2.3582708835601807","2.3582708835601807","2.3582708835601807","2.1267571449279785","2.1267571449279785","2.1267571449279785"
"8","2.487673044204712","2.487673044204712","2.487673044204712","2.485992908477783","2.485992908477783","2.485992908477783","2.4117119312286377","2.4117119312286377","2.4117119312286377","2.4038145542144775","2.4038145542144775","2.4038145542144775","2.1227500438690186","2.1227500438690186","2.1227500438690186"
"9","2.485236406326294","2.485236406326294","2.485236406326294","2.4807939529418945","2.4807939529418945","2.4807939529418945","2.4263343811035156","2.4263343811035156","2.4263343811035156","2.352010488510132","2.352010488510132","2.352010488510132","2.137273073196411","2.137273073196411","2.137273073196411"
"10","2.4801065921783447","2.4801065921783447","2.4801065921783447","2.491157054901123","2.491157054901123","2.491157054901123","2.4521467685699463","2.4521467685699463","2.4521467685699463","2.336545944213867","2.336545944213867","2.336545944213867","2.1432406902313232","2.1432406902313232","2.1432406902313232"
"11","2.473891258239746","2.473891258239746","2.473891258239746","2.4779741764068604","2.4779741764068604","2.4779741764068604","2.3979358673095703","2.3979358673095703","2.3979358673095703","2.407376527786255","2.407376527786255","2.407376527786255","2.15022611618042","2.15022611618042","2.15022611618042"
"12","2.5021071434020996","2.5021071434020996","2.5021071434020996","2.4969186782836914","2.4969186782836914","2.4969186782836914","2.4353294372558594","2.4353294372558594","2.4353294372558594","2.4129321575164795","2.4129321575164795","2.4129321575164795","2.1551830768585205","2.1551830768585205","2.1551830768585205"
"13","2.502208948135376","2.502208948135376","2.502208948135376","2.4803731441497803","2.4803731441497803","2.4803731441497803","2.4446542263031006","2.4446542263031006","2.4446542263031006","2.394469738006592","2.394469738006592","2.394469738006592","2.1592495441436768","2.1592495441436768","2.1592495441436768"
"14","2.489013433456421","2.489013433456421","2.489013433456421","2.48429799079895","2.48429799079895","2.48429799079895","2.4158291816711426","2.4158291816711426","2.4158291816711426","2.4026474952697754","2.4026474952697754","2.4026474952697754","2.1949541568756104","2.1949541568756104","2.1949541568756104"
"15","2.511687755584717","2.511687755584717","2.511687755584717","2.5198771953582764","2.5198771953582764","2.5198771953582764","2.4293289184570312","2.4293289184570312","2.4293289184570312","2.378631591796875","2.378631591796875","2.378631591796875","2.221874475479126","2.221874475479126","2.221874475479126"
"16","2.513932704925537","2.513932704925537","2.513932704925537","2.5024805068969727","2.5024805068969727","2.5024805068969727","2.441582679748535","2.441582679748535","2.441582679748535","2.4306912422180176","2.4306912422180176","2.4306912422180176","2.2215747833251953","2.2215747833251953","2.2215747833251953"
