"epoch","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/loss","transformer-2 - val/loss__MIN","transformer-2 - val/loss__MAX","transformer-2 - trn/loss","transformer-2 - trn/loss__MIN","transformer-2 - trn/loss__MAX"
"1","1","1","1","1.4810919761657715","1.4810919761657715","1.4810919761657715","1.486507773399353","1.486507773399353","1.486507773399353"
"2","2","2","2","1.401741862297058","1.401741862297058","1.401741862297058","1.4007363319396973","1.4007363319396973","1.4007363319396973"
"3","3","3","3","1.342039704322815","1.342039704322815","1.342039704322815","1.3382656574249268","1.3382656574249268","1.3382656574249268"
"4","4","4","4","1.302886962890625","1.302886962890625","1.302886962890625","1.2940047979354858","1.2940047979354858","1.2940047979354858"
"5","5","5","5","1.2883388996124268","1.2883388996124268","1.2883388996124268","1.2814842462539673","1.2814842462539673","1.2814842462539673"
"6","6","6","6","1.2746331691741943","1.2746331691741943","1.2746331691741943","1.2692092657089233","1.2692092657089233","1.2692092657089233"
"7","7","7","7","1.2572567462921143","1.2572567462921143","1.2572567462921143","1.2478811740875244","1.2478811740875244","1.2478811740875244"
"8","8","8","8","1.2431614398956299","1.2431614398956299","1.2431614398956299","1.236996054649353","1.236996054649353","1.236996054649353"
"9","9","9","9","1.2191234827041626","1.2191234827041626","1.2191234827041626","1.2080849409103394","1.2080849409103394","1.2080849409103394"
"10","10","10","10","1.2069761753082275","1.2069761753082275","1.2069761753082275","1.1950584650039673","1.1950584650039673","1.1950584650039673"
"11","11","11","11","1.1901047229766846","1.1901047229766846","1.1901047229766846","1.1826575994491577","1.1826575994491577","1.1826575994491577"
"12","12","12","12","1.1682207584381104","1.1682207584381104","1.1682207584381104","1.1524416208267212","1.1524416208267212","1.1524416208267212"
"13","13","13","13","1.143257737159729","1.143257737159729","1.143257737159729","1.12946617603302","1.12946617603302","1.12946617603302"
"14","14","14","14","1.1214721202850342","1.1214721202850342","1.1214721202850342","1.1057759523391724","1.1057759523391724","1.1057759523391724"
"15","15","15","15","1.1098198890686035","1.1098198890686035","1.1098198890686035","1.0942591428756714","1.0942591428756714","1.0942591428756714"
"16","16","16","16","1.1104354858398438","1.1104354858398438","1.1104354858398438","1.0883466005325317","1.0883466005325317","1.0883466005325317"
"17","17","17","17","1.0885801315307617","1.0885801315307617","1.0885801315307617","1.0627882480621338","1.0627882480621338","1.0627882480621338"
"18","18","18","18","1.0804015398025513","1.0804015398025513","1.0804015398025513","1.0510451793670654","1.0510451793670654","1.0510451793670654"
"19","19","19","19","1.07254159450531","1.07254159450531","1.07254159450531","1.036881446838379","1.036881446838379","1.036881446838379"
"20","20","20","20","1.056302785873413","1.056302785873413","1.056302785873413","1.0198888778686523","1.0198888778686523","1.0198888778686523"
