"epoch","transformer-5-100-data-5000-batch-20-drop - _step","transformer-5-100-data-5000-batch-20-drop - _step__MIN","transformer-5-100-data-5000-batch-20-drop - _step__MAX","transformer-5-100-data-5000-batch-20-drop - val/loss","transformer-5-100-data-5000-batch-20-drop - val/loss__MIN","transformer-5-100-data-5000-batch-20-drop - val/loss__MAX","transformer-5-100-data-5000-batch-20-drop - trn/loss","transformer-5-100-data-5000-batch-20-drop - trn/loss__MIN","transformer-5-100-data-5000-batch-20-drop - trn/loss__MAX"
"1","1","1","1","0.9843006134033203","0.9843006134033203","0.9843006134033203","0.6097655296325684","0.6097655296325684","0.6097655296325684"
"2","2","2","2","0.9289798736572266","0.9289798736572266","0.9289798736572266","0.577690064907074","0.577690064907074","0.577690064907074"
"3","3","3","3","0.9111778736114502","0.9111778736114502","0.9111778736114502","0.5655099749565125","0.5655099749565125","0.5655099749565125"
"4","4","4","4","0.8996810913085938","0.8996810913085938","0.8996810913085938","0.5562363862991333","0.5562363862991333","0.5562363862991333"
"5","5","5","5","0.8942087888717651","0.8942087888717651","0.8942087888717651","0.5463615655899048","0.5463615655899048","0.5463615655899048"
"6","6","6","6","0.8724709749221802","0.8724709749221802","0.8724709749221802","0.5375854969024658","0.5375854969024658","0.5375854969024658"
"7","7","7","7","0.8746476769447327","0.8746476769447327","0.8746476769447327","0.5344183444976807","0.5344183444976807","0.5344183444976807"
"8","8","8","8","0.8713369369506836","0.8713369369506836","0.8713369369506836","0.5251690745353699","0.5251690745353699","0.5251690745353699"
"9","9","9","9","0.8704205751419067","0.8704205751419067","0.8704205751419067","0.5248656868934631","0.5248656868934631","0.5248656868934631"
"10","10","10","10","0.8488607406616211","0.8488607406616211","0.8488607406616211","0.5154855847358704","0.5154855847358704","0.5154855847358704"
"11","11","11","11","0.8483543992042542","0.8483543992042542","0.8483543992042542","0.5160539150238037","0.5160539150238037","0.5160539150238037"
"12","12","12","12","0.8414243459701538","0.8414243459701538","0.8414243459701538","0.511271059513092","0.511271059513092","0.511271059513092"
"13","13","13","13","0.835686981678009","0.835686981678009","0.835686981678009","0.5066952705383301","0.5066952705383301","0.5066952705383301"
"14","14","14","14","0.8443041443824768","0.8443041443824768","0.8443041443824768","0.5043967962265015","0.5043967962265015","0.5043967962265015"
"15","15","15","15","0.8353120684623718","0.8353120684623718","0.8353120684623718","0.5039327144622803","0.5039327144622803","0.5039327144622803"
"16","16","16","16","0.8428035974502563","0.8428035974502563","0.8428035974502563","0.5004035830497742","0.5004035830497742","0.5004035830497742"
"17","17","17","17","0.8372835516929626","0.8372835516929626","0.8372835516929626","0.49964427947998047","0.49964427947998047","0.49964427947998047"
"18","18","18","18","0.8383328914642334","0.8383328914642334","0.8383328914642334","0.49950501322746277","0.49950501322746277","0.49950501322746277"
"19","19","19","19","0.8291358351707458","0.8291358351707458","0.8291358351707458","0.49500522017478943","0.49500522017478943","0.49500522017478943"
"20","20","20","20","0.8260241746902466","0.8260241746902466","0.8260241746902466","0.4957245886325836","0.4957245886325836","0.4957245886325836"
"21","21","21","21","0.827692449092865","0.827692449092865","0.827692449092865","0.4967502951622009","0.4967502951622009","0.4967502951622009"
"22","22","22","22","0.8321888446807861","0.8321888446807861","0.8321888446807861","0.49640071392059326","0.49640071392059326","0.49640071392059326"
"23","23","23","23","0.8272247910499573","0.8272247910499573","0.8272247910499573","0.4893297255039215","0.4893297255039215","0.4893297255039215"
"24","24","24","24","0.8287327289581299","0.8287327289581299","0.8287327289581299","0.4942353665828705","0.4942353665828705","0.4942353665828705"
"25","25","25","25","0.822037935256958","0.822037935256958","0.822037935256958","0.4866545498371124","0.4866545498371124","0.4866545498371124"
"26","26","26","26","0.8159345984458923","0.8159345984458923","0.8159345984458923","0.4856387674808502","0.4856387674808502","0.4856387674808502"
"27","27","27","27","0.8210593461990356","0.8210593461990356","0.8210593461990356","0.48562532663345337","0.48562532663345337","0.48562532663345337"
"28","28","28","28","0.8205459117889404","0.8205459117889404","0.8205459117889404","0.4841965138912201","0.4841965138912201","0.4841965138912201"
"29","29","29","29","0.8214324712753296","0.8214324712753296","0.8214324712753296","0.48660367727279663","0.48660367727279663","0.48660367727279663"
"30","30","30","30","0.8237344622612","0.8237344622612","0.8237344622612","0.48272621631622314","0.48272621631622314","0.48272621631622314"
"31","31","31","31","0.8189892172813416","0.8189892172813416","0.8189892172813416","0.48125559091567993","0.48125559091567993","0.48125559091567993"
