"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/acc/bin","transformer-2-w-sample-class-weighted - val/acc/bin__MIN","transformer-2-w-sample-class-weighted - val/acc/bin__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/acc/bin","transformer-2-w-sample-class-raw - val/acc/bin__MIN","transformer-2-w-sample-class-raw - val/acc/bin__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/acc/bin","transformer-2-w-class-raw - val/acc/bin__MIN","transformer-2-w-class-raw - val/acc/bin__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/acc/bin","transformer-2-w-class-weighted - val/acc/bin__MIN","transformer-2-w-class-weighted - val/acc/bin__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/acc/bin","transformer-2-w-sample-unnorm - val/acc/bin__MIN","transformer-2-w-sample-unnorm - val/acc/bin__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/acc/bin","transformer-2-w-sample - val/acc/bin__MIN","transformer-2-w-sample - val/acc/bin__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/acc/bin","transformer-2 - val/acc/bin__MIN","transformer-2 - val/acc/bin__MAX"
"1","1.5","1","2","0.6220346689224243","0.6064585447311401","0.6376107931137085","1.5","1","2","0.6064476370811462","0.6064367294311523","0.6064585447311401","1.5","1","2","0.6220346689224243","0.6064585447311401","0.6376107931137085","1.5","1","2","0.6220346391201019","0.6064585447311401","0.6376107335090637","1.5","1","2","0.4844239056110382","0.3623892664909363","0.6064585447311401","1.5","1","2","0.4844239056110382","0.3623892664909363","0.6064585447311401","1","1","1","0.3623892664909363","0.3623892664909363","0.3623892664909363"
"2","3","3","3","0.6376107931137085","0.6376107931137085","0.6376107931137085","3","3","3","0.6064367294311523","0.6064367294311523","0.6064367294311523","3","3","3","0.6376107335090637","0.6376107335090637","0.6376107335090637","3","3","3","0.6376107335090637","0.6376107335090637","0.6376107335090637","3","3","3","0.5235017538070679","0.5235017538070679","0.5235017538070679","3","3","3","0.5222576260566711","0.5222576260566711","0.5222576260566711","2","2","2","0.40346720814704895","0.40346720814704895","0.40346720814704895"
"3","4","4","4","0.6376107335090637","0.6376107335090637","0.6376107335090637","4","4","4","0.6066335439682007","0.6066335439682007","0.6066335439682007","4","4","4","0.6376107931137085","0.6376107931137085","0.6376107931137085","4","4","4","0.6376551985740662","0.6376551985740662","0.6376551985740662","4","4","4","0.48828306794166565","0.48828306794166565","0.48828306794166565","4","4","4","0.4908119738101959","0.4908119738101959","0.4908119738101959","3","3","3","0.45386046171188354","0.45386046171188354","0.45386046171188354"
"4","5","5","5","0.6376107931137085","0.6376107931137085","0.6376107931137085","5","5","5","0.6067894697189331","0.6067894697189331","0.6067894697189331","5","5","5","0.6356001496315002","0.6356001496315002","0.6356001496315002","5","5","5","0.6380410194396973","0.6380410194396973","0.6380410194396973","5","5","5","0.6077785491943359","0.6077785491943359","0.6077785491943359","5","5","5","0.6085618138313293","0.6085618138313293","0.6085618138313293","4","4","4","0.5342989563941956","0.5342989563941956","0.5342989563941956"
"5","6","6","6","0.6376578211784363","0.6376578211784363","0.6376578211784363","6","6","6","0.6067894697189331","0.6067894697189331","0.6067894697189331","6","6","6","0.6408007144927979","0.6408007144927979","0.6408007144927979","6","6","6","0.6352246999740601","0.6352246999740601","0.6352246999740601","6","6","6","0.6103460788726807","0.6103460788726807","0.6103460788726807","6","6","6","0.6086521148681641","0.6086521148681641","0.6086521148681641","5","5","5","0.5027936100959778","0.5027936100959778","0.5027936100959778"
"6","7","7","7","0.6376107931137085","0.6376107931137085","0.6376107931137085","7","7","7","0.6067894697189331","0.6067894697189331","0.6067894697189331","7","7","7","0.6333872079849243","0.6333872079849243","0.6333872079849243","7","7","7","0.6376484632492065","0.6376484632492065","0.6376484632492065","7","7","7","0.6049203872680664","0.6049203872680664","0.6049203872680664","7","7","7","0.6138180494308472","0.6138180494308472","0.6138180494308472","6","6","6","0.5274261236190796","0.5274261236190796","0.5274261236190796"
"7","8","8","8","0.6376107931137085","0.6376107931137085","0.6376107931137085","8","8","8","0.606522262096405","0.606522262096405","0.606522262096405","8","8","8","0.6350222826004028","0.6350222826004028","0.6350222826004028","8","8","8","0.6375700235366821","0.6375700235366821","0.6375700235366821","8","8","8","0.6373217701911926","0.6373217701911926","0.6373217701911926","8","8","8","0.6418150663375854","0.6418150663375854","0.6418150663375854","7","7","7","0.5001555681228638","0.5001555681228638","0.5001555681228638"
"8","9","9","9","0.6376107335090637","0.6376107335090637","0.6376107335090637","9","9","9","0.6067894697189331","0.6067894697189331","0.6067894697189331","9","9","9","0.6397448182106018","0.6397448182106018","0.6397448182106018","9","9","9","0.6375566124916077","0.6375566124916077","0.6375566124916077","9","9","9","0.6307826638221741","0.6307826638221741","0.6307826638221741","9","9","9","0.6188894510269165","0.6188894510269165","0.6188894510269165","8","8","8","0.48208749294281006","0.48208749294281006","0.48208749294281006"
"9","10","10","10","0.6376107931137085","0.6376107931137085","0.6376107931137085","10","10","10","0.6071170568466187","0.6071170568466187","0.6071170568466187","10","10","10","0.6371013522148132","0.6371013522148132","0.6371013522148132","10","10","10","0.6397821307182312","0.6397821307182312","0.6397821307182312","10","10","10","0.5897846817970276","0.5897846817970276","0.5897846817970276","10","10","10","0.5967949628829956","0.5967949628829956","0.5967949628829956","9","9","9","0.5099435448646545","0.5099435448646545","0.5099435448646545"
"10","11","11","11","0.6376107931137085","0.6376107931137085","0.6376107931137085","11","11","11","0.6068498492240906","0.6068498492240906","0.6068498492240906","11","11","11","0.6442556381225586","0.6442556381225586","0.6442556381225586","11","11","11","0.6402390003204346","0.6402390003204346","0.6402390003204346","11","11","11","0.5819565057754517","0.5819565057754517","0.5819565057754517","11","11","11","0.6150015592575073","0.6150015592575073","0.6150015592575073","10","10","10","0.5563300848007202","0.5563300848007202","0.5563300848007202"
