"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/auc_w/ttH","transformer-2-w-sample-class-weighted - val/auc_w/ttH__MIN","transformer-2-w-sample-class-weighted - val/auc_w/ttH__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/auc_w/ttH","transformer-2-w-sample-class-raw - val/auc_w/ttH__MIN","transformer-2-w-sample-class-raw - val/auc_w/ttH__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/auc_w/ttH","transformer-2-w-class-raw - val/auc_w/ttH__MIN","transformer-2-w-class-raw - val/auc_w/ttH__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/auc_w/ttH","transformer-2-w-class-weighted - val/auc_w/ttH__MIN","transformer-2-w-class-weighted - val/auc_w/ttH__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/auc_w/ttH","transformer-2-w-sample-unnorm - val/auc_w/ttH__MIN","transformer-2-w-sample-unnorm - val/auc_w/ttH__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/auc_w/ttH","transformer-2-w-sample - val/auc_w/ttH__MIN","transformer-2-w-sample - val/auc_w/ttH__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"1","1.5","1","2","0.47526884536240055","0.47196693562324044","0.47857075510156066","1.5","1","2","0.4786492935540059","0.47857075510156066","0.47872783200645114","1.5","1","2","0.5178928451378844","0.47857075510156066","0.5572149351742082","1.5","1","2","0.48607386323465496","0.47857075510156066","0.4935769713677492","1.5","1","2","0.5418085581018445","0.47876812528411145","0.6048489909195774","1.5","1","2","0.5408850566472891","0.47857075510156066","0.6031993581930177","1","1","1","0.5916381712406114","0.5916381712406114","0.5916381712406114"
"2","3","3","3","0.48154413015830155","0.48154413015830155","0.48154413015830155","3","3","3","0.47819019067275126","0.47819019067275126","0.47819019067275126","3","3","3","0.5451448727959552","0.5451448727959552","0.5451448727959552","3","3","3","0.5632139382356094","0.5632139382356094","0.5632139382356094","3","3","3","0.6453827292730792","0.6453827292730792","0.6453827292730792","3","3","3","0.6460704770119303","0.6460704770119303","0.6460704770119303","2","2","2","0.6275400053688894","0.6275400053688894","0.6275400053688894"
"3","4","4","4","0.4822465546866942","0.4822465546866942","0.4822465546866942","4","4","4","0.47856189848415154","0.47856189848415154","0.47856189848415154","4","4","4","0.547835042743434","0.547835042743434","0.547835042743434","4","4","4","0.6120781913642488","0.6120781913642488","0.6120781913642488","4","4","4","0.686516197440133","0.686516197440133","0.686516197440133","4","4","4","0.6872597739969819","0.6872597739969819","0.6872597739969819","3","3","3","0.6499130075684647","0.6499130075684647","0.6499130075684647"
"4","5","5","5","0.4813151024229223","0.4813151024229223","0.4813151024229223","5","5","5","0.4784564056211077","0.4784564056211077","0.4784564056211077","5","5","5","0.6184445976472778","0.6184445976472778","0.6184445976472778","5","5","5","0.5807225714217236","0.5807225714217236","0.5807225714217236","5","5","5","0.7001930120687787","0.7001930120687787","0.7001930120687787","5","5","5","0.6963440974192403","0.6963440974192403","0.6963440974192403","4","4","4","0.6527983439640017","0.6527983439640017","0.6527983439640017"
"5","6","6","6","0.4821547290414141","0.4821547290414141","0.4821547290414141","6","6","6","0.47867287284117843","0.47867287284117843","0.47867287284117843","6","6","6","0.6338331417987528","0.6338331417987528","0.6338331417987528","6","6","6","0.5923380380842855","0.5923380380842855","0.5923380380842855","6","6","6","0.7125130274211112","0.7125130274211112","0.7125130274211112","6","6","6","0.7142447089872739","0.7142447089872739","0.7142447089872739","5","5","5","0.6533806974650211","0.6533806974650211","0.6533806974650211"
"6","7","7","7","0.4805747669231857","0.4805747669231857","0.4805747669231857","7","7","7","0.47854700626188384","0.47854700626188384","0.47854700626188384","7","7","7","0.6112917399361099","0.6112917399361099","0.6112917399361099","7","7","7","0.5884694662656103","0.5884694662656103","0.5884694662656103","7","7","7","0.7086234662020013","0.7086234662020013","0.7086234662020013","7","7","7","0.7098321992169916","0.7098321992169916","0.7098321992169916","6","6","6","0.6501103468023719","0.6501103468023719","0.6501103468023719"
"7","8","8","8","0.4797328449936513","0.4797328449936513","0.4797328449936513","8","8","8","0.4787474522492605","0.4787474522492605","0.4787474522492605","8","8","8","0.6310394533483179","0.6310394533483179","0.6310394533483179","8","8","8","0.5688221923081749","0.5688221923081749","0.5688221923081749","8","8","8","0.7194472195375007","0.7194472195375007","0.7194472195375007","8","8","8","0.7155821257933964","0.7155821257933964","0.7155821257933964","7","7","7","0.6472948948645459","0.6472948948645459","0.6472948948645459"
"8","9","9","9","0.48263604775649105","0.48263604775649105","0.48263604775649105","9","9","9","0.4787902528180973","0.4787902528180973","0.4787902528180973","9","9","9","0.635301132337812","0.635301132337812","0.635301132337812","9","9","9","0.5804604031001278","0.5804604031001278","0.5804604031001278","9","9","9","0.7198514361438825","0.7198514361438825","0.7198514361438825","9","9","9","0.7228526674237508","0.7228526674237508","0.7228526674237508","8","8","8","0.6411628762761448","0.6411628762761448","0.6411628762761448"
"9","10","10","10","0.4757390373524314","0.4757390373524314","0.4757390373524314","10","10","10","0.478494152216661","0.478494152216661","0.478494152216661","10","10","10","0.6478359849204104","0.6478359849204104","0.6478359849204104","10","10","10","0.5924875507206432","0.5924875507206432","0.5924875507206432","10","10","10","0.7009277195435853","0.7009277195435853","0.7009277195435853","10","10","10","0.6975395493516676","0.6975395493516676","0.6975395493516676","9","9","9","0.6241768686266751","0.6241768686266751","0.6241768686266751"
"10","11","11","11","0.47751653834494046","0.47751653834494046","0.47751653834494046","11","11","11","0.4784038761549465","0.4784038761549465","0.4784038761549465","11","11","11","0.6676979360850404","0.6676979360850404","0.6676979360850404","11","11","11","0.5845319165433173","0.5845319165433173","0.5845319165433173","11","11","11","0.7228689690687763","0.7228689690687763","0.7228689690687763","11","11","11","0.7246756021864889","0.7246756021864889","0.7246756021864889","10","10","10","0.636455896843119","0.636455896843119","0.636455896843119"
