"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/f1","transformer-2-w-sample-class-weighted - val/f1__MIN","transformer-2-w-sample-class-weighted - val/f1__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/f1","transformer-2-w-sample-class-raw - val/f1__MIN","transformer-2-w-sample-class-raw - val/f1__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/f1","transformer-2-w-class-raw - val/f1__MIN","transformer-2-w-class-raw - val/f1__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/f1","transformer-2-w-class-weighted - val/f1__MIN","transformer-2-w-class-weighted - val/f1__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/f1","transformer-2-w-sample-unnorm - val/f1__MIN","transformer-2-w-sample-unnorm - val/f1__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/f1","transformer-2-w-sample - val/f1__MIN","transformer-2-w-sample - val/f1__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/f1","transformer-2 - val/f1__MIN","transformer-2 - val/f1__MAX"
"1","1.5","1","2","0.0823216587305069","0","0.1646433174610138","1.5","1","2","0.16463951766490936","0.16463571786880493","0.1646433174610138","1.5","1","2","0.0823216587305069","0","0.1646433174610138","1.5","1","2","0.0823216587305069","0","0.1646433174610138","1.5","1","2","0.3483170121908188","0.1646433174610138","0.5319907069206238","1.5","1","2","0.3483170121908188","0.1646433174610138","0.5319907069206238","1","1","1","0.5319907069206238","0.5319907069206238","0.5319907069206238"
"2","3","3","3","0","0","0","3","3","3","0.16463571786880493","0.16463571786880493","0.16463571786880493","3","3","3","0","0","0","3","3","3","0","0","0","3","3","3","0.5556164383888245","0.5556164383888245","0.5556164383888245","3","3","3","0.5602367520332336","0.5602367520332336","0.5602367520332336","2","2","2","0.5349997878074646","0.5349997878074646","0.5349997878074646"
"3","4","4","4","0","0","0","4","4","4","0.16415101289749146","0.16415101289749146","0.16415101289749146","4","4","4","0","0","0","4","4","4","0.00024542491883039474","0.00024542491883039474","0.00024542491883039474","4","4","4","0.5668833255767822","0.5668833255767822","0.5668833255767822","4","4","4","0.5684542059898376","0.5684542059898376","0.5684542059898376","3","3","3","0.5537573099136353","0.5537573099136353","0.5537573099136353"
"4","5","5","5","0","0","0","5","5","5","0.1647590547800064","0.1647590547800064","0.1647590547800064","5","5","5","0.015409259125590324","0.015409259125590324","0.015409259125590324","5","5","5","0.011196044273674488","0.011196044273674488","0.011196044273674488","5","5","5","0.5719866156578064","0.5719866156578064","0.5719866156578064","5","5","5","0.5831589698791504","0.5831589698791504","0.5831589698791504","4","4","4","0.5564124584197998","0.5564124584197998","0.5564124584197998"
"5","6","6","6","0","0","0","6","6","6","0.1647590547800064","0.1647590547800064","0.1647590547800064","6","6","6","0.2918003797531128","0.2918003797531128","0.2918003797531128","6","6","6","0.021924685686826706","0.021924685686826706","0.021924685686826706","6","6","6","0.5971948504447937","0.5971948504447937","0.5971948504447937","6","6","6","0.6000222563743591","0.6000222563743591","0.6000222563743591","5","5","5","0.56700199842453","0.56700199842453","0.56700199842453"
"6","7","7","7","0","0","0","7","7","7","0.1647590547800064","0.1647590547800064","0.1647590547800064","7","7","7","0.020236436277627945","0.020236436277627945","0.020236436277627945","7","7","7","0.00020781756029464304","0.00020781756029464304","0.00020781756029464304","7","7","7","0.6054635047912598","0.6054635047912598","0.6054635047912598","7","7","7","0.6005286574363708","0.6005286574363708","0.6005286574363708","6","6","6","0.5689415335655212","0.5689415335655212","0.5689415335655212"
"7","8","8","8","0","0","0","8","8","8","0.1646655946969986","0.1646655946969986","0.1646655946969986","8","8","8","0.15532159805297852","0.15532159805297852","0.15532159805297852","8","8","8","0.0013869411777704954","0.0013869411777704954","0.0013869411777704954","8","8","8","0.5939564108848572","0.5939564108848572","0.5939564108848572","8","8","8","0.5793676972389221","0.5793676972389221","0.5793676972389221","7","7","7","0.5419248938560486","0.5419248938560486","0.5419248938560486"
"8","9","9","9","0","0","0","9","9","9","0.1647590547800064","0.1647590547800064","0.1647590547800064","9","9","9","0.058966826647520065","0.058966826647520065","0.058966826647520065","9","9","9","0.02934310771524906","0.02934310771524906","0.02934310771524906","9","9","9","0.5910743474960327","0.5910743474960327","0.5910743474960327","9","9","9","0.6123795509338379","0.6123795509338379","0.6123795509338379","8","8","8","0.5453381538391113","0.5453381538391113","0.5453381538391113"
"9","10","10","10","0","0","0","10","10","10","0.16510874032974243","0.16510874032974243","0.16510874032974243","10","10","10","0.06733153015375137","0.06733153015375137","0.06733153015375137","10","10","10","0.017279813066124916","0.017279813066124916","0.017279813066124916","10","10","10","0.5753223299980164","0.5753223299980164","0.5753223299980164","10","10","10","0.5685150623321533","0.5685150623321533","0.5685150623321533","9","9","9","0.5226544141769409","0.5226544141769409","0.5226544141769409"
"10","11","11","11","0","0","0","11","11","11","0.16501502692699432","0.16501502692699432","0.16501502692699432","11","11","11","0.10206868499517441","0.10206868499517441","0.10206868499517441","11","11","11","0.06041542440652847","0.06041542440652847","0.06041542440652847","11","11","11","0.5850907564163208","0.5850907564163208","0.5850907564163208","11","11","11","0.6024119257926941","0.6024119257926941","0.6024119257926941","10","10","10","0.5378494262695312","0.5378494262695312","0.5378494262695312"
"11","12","12","12","0","0","0","12","12","12","0.16501502692699432","0.16501502692699432","0.16501502692699432","12","12","12","0.048993587493896484","0.048993587493896484","0.048993587493896484","12","12","12","0.022117292508482933","0.022117292508482933","0.022117292508482933","12","12","12","0.5955936312675476","0.5955936312675476","0.5955936312675476","12","12","12","0.5986785292625427","0.5986785292625427","0.5986785292625427","11","11","11","0.5449067950248718","0.5449067950248718","0.5449067950248718"
