"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - sig/significance","transformer-2-w-sample-class-weighted - sig/significance__MIN","transformer-2-w-sample-class-weighted - sig/significance__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - sig/significance","transformer-2-w-sample-class-raw - sig/significance__MIN","transformer-2-w-sample-class-raw - sig/significance__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - sig/significance","transformer-2-w-class-raw - sig/significance__MIN","transformer-2-w-class-raw - sig/significance__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - sig/significance","transformer-2-w-class-weighted - sig/significance__MIN","transformer-2-w-class-weighted - sig/significance__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - sig/significance","transformer-2-w-sample-unnorm - sig/significance__MIN","transformer-2-w-sample-unnorm - sig/significance__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - sig/significance","transformer-2-w-sample - sig/significance__MIN","transformer-2-w-sample - sig/significance__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"1","1.5","1","2","2.0833053588867188","2.0833053588867188","2.0833053588867188","1.5","1","2","2.0833053588867188","2.0833053588867188","2.0833053588867188","1.5","1","2","2.083314538002014","2.0833053588867188","2.0833237171173096","1.5","1","2","2.0833053588867188","2.0833053588867188","2.0833053588867188","1.5","1","2","2.0833053588867188","2.0833053588867188","2.0833053588867188","1.5","1","2","2.0833053588867188","2.0833053588867188","2.0833053588867188","1","1","1","2.0834169387817383","2.0834169387817383","2.0834169387817383"
"2","3","3","3","2.0833053588867188","2.0833053588867188","2.0833053588867188","3","3","3","2.0833053588867188","2.0833053588867188","2.0833053588867188","3","3","3","2.0833053588867188","2.0833053588867188","2.0833053588867188","3","3","3","2.09328556060791","2.09328556060791","2.09328556060791","3","3","3","2.091249942779541","2.091249942779541","2.091249942779541","3","3","3","2.0885908603668213","2.0885908603668213","2.0885908603668213","2","2","2","2.101653575897217","2.101653575897217","2.101653575897217"
"3","4","4","4","2.0833053588867188","2.0833053588867188","2.0833053588867188","4","4","4","2.0833053588867188","2.0833053588867188","2.0833053588867188","4","4","4","2.0833053588867188","2.0833053588867188","2.0833053588867188","4","4","4","2.1175432205200195","2.1175432205200195","2.1175432205200195","4","4","4","2.150343418121338","2.150343418121338","2.150343418121338","4","4","4","2.148749589920044","2.148749589920044","2.148749589920044","3","3","3","2.149033546447754","2.149033546447754","2.149033546447754"
"4","5","5","5","2.0833053588867188","2.0833053588867188","2.0833053588867188","5","5","5","2.0833053588867188","2.0833053588867188","2.0833053588867188","5","5","5","2.0833053588867188","2.0833053588867188","2.0833053588867188","5","5","5","2.1173291206359863","2.1173291206359863","2.1173291206359863","5","5","5","2.192573308944702","2.192573308944702","2.192573308944702","5","5","5","2.178227186203003","2.178227186203003","2.178227186203003","4","4","4","2.1422698497772217","2.1422698497772217","2.1422698497772217"
"5","6","6","6","2.0833053588867188","2.0833053588867188","2.0833053588867188","6","6","6","2.0833053588867188","2.0833053588867188","2.0833053588867188","6","6","6","2.090571641921997","2.090571641921997","2.090571641921997","6","6","6","2.0833053588867188","2.0833053588867188","2.0833053588867188","6","6","6","2.2044484615325928","2.2044484615325928","2.2044484615325928","6","6","6","2.214362382888794","2.214362382888794","2.214362382888794","5","5","5","2.153210163116455","2.153210163116455","2.153210163116455"
"6","7","7","7","2.0833053588867188","2.0833053588867188","2.0833053588867188","7","7","7","2.0833053588867188","2.0833053588867188","2.0833053588867188","7","7","7","2.1124088764190674","2.1124088764190674","2.1124088764190674","7","7","7","2.0839684009552","2.0839684009552","2.0839684009552","7","7","7","2.227309465408325","2.227309465408325","2.227309465408325","7","7","7","2.224189281463623","2.224189281463623","2.224189281463623","6","6","6","2.146914482116699","2.146914482116699","2.146914482116699"
"7","8","8","8","2.0833053588867188","2.0833053588867188","2.0833053588867188","8","8","8","2.0833053588867188","2.0833053588867188","2.0833053588867188","8","8","8","2.103956699371338","2.103956699371338","2.103956699371338","8","8","8","2.0833053588867188","2.0833053588867188","2.0833053588867188","8","8","8","2.234689235687256","2.234689235687256","2.234689235687256","8","8","8","2.2412612438201904","2.2412612438201904","2.2412612438201904","7","7","7","2.1267571449279785","2.1267571449279785","2.1267571449279785"
"8","9","9","9","2.0833053588867188","2.0833053588867188","2.0833053588867188","9","9","9","2.0833053588867188","2.0833053588867188","2.0833053588867188","9","9","9","2.1041955947875977","2.1041955947875977","2.1041955947875977","9","9","9","2.0979466438293457","2.0979466438293457","2.0979466438293457","9","9","9","2.2311713695526123","2.2311713695526123","2.2311713695526123","9","9","9","2.262897491455078","2.262897491455078","2.262897491455078","8","8","8","2.1227500438690186","2.1227500438690186","2.1227500438690186"
"9","10","10","10","2.0833053588867188","2.0833053588867188","2.0833053588867188","10","10","10","2.0833053588867188","2.0833053588867188","2.0833053588867188","10","10","10","2.1021714210510254","2.1021714210510254","2.1021714210510254","10","10","10","2.107227087020874","2.107227087020874","2.107227087020874","10","10","10","2.1940536499023438","2.1940536499023438","2.1940536499023438","10","10","10","2.1930131912231445","2.1930131912231445","2.1930131912231445","9","9","9","2.137273073196411","2.137273073196411","2.137273073196411"
"10","11","11","11","2.0833053588867188","2.0833053588867188","2.0833053588867188","11","11","11","2.0833053588867188","2.0833053588867188","2.0833053588867188","11","11","11","2.1373355388641357","2.1373355388641357","2.1373355388641357","11","11","11","2.101743698120117","2.101743698120117","2.101743698120117","11","11","11","2.238997459411621","2.238997459411621","2.238997459411621","11","11","11","2.253370761871338","2.253370761871338","2.253370761871338","10","10","10","2.1432406902313232","2.1432406902313232","2.1432406902313232"
